date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-04-10,youtube,50536,14224,,493,30,,,2
2026-04-11,youtube,50594,17216,,576,37,,,2
2026-04-12,youtube,50687,17252,,474,48,,,3
2026-04-13,youtube,50748,13113,,448,19,,,3
2026-04-14,youtube,50823,7386,,166,9,,,2
2026-04-15,youtube,50899,17541,,484,28,,,1
2026-04-16,youtube,50941,10251,,416,16,,,2
2026-04-17,youtube,51012,5656,,132,10,,,0
2026-04-18,youtube,51094,7062,,180,14,,,3
2026-04-19,youtube,51177,16944,,657,22,,,0
2026-04-20,youtube,51252,14019,,463,27,,,2
2026-04-21,youtube,51300,12926,,460,37,,,0
2026-04-22,youtube,51348,13864,,407,29,,,2
2026-04-23,youtube,51436,13975,,600,19,,,3
2026-04-24,youtube,51517,14748,,368,33,,,0
2026-04-25,youtube,51557,10528,,332,16,,,2
2026-04-26,youtube,51648,8192,,264,10,,,1
2026-04-27,youtube,51669,6463,,232,9,,,3
2026-04-28,youtube,51692,12442,,389,32,,,2
2026-04-29,youtube,51741,8650,,270,15,,,2
2026-04-30,youtube,51781,8184,,358,23,,,2
2026-05-01,youtube,51821,6770,,184,19,,,3
2026-05-02,youtube,51885,17370,,603,23,,,2
2026-05-03,youtube,51960,9128,,282,13,,,1
2026-05-04,youtube,52046,5584,,234,10,,,2
2026-05-05,youtube,52063,8356,,320,22,,,3
2026-05-06,youtube,52146,8594,,178,14,,,3
2026-05-07,youtube,52204,10163,,296,27,,,0
2026-05-08,youtube,52232,13121,,457,25,,,2
2026-05-09,youtube,52290,6238,,182,9,,,2
2026-05-10,youtube,52285,17221,,562,38,,,2
2026-05-11,youtube,52306,15955,,348,40,,,3
2026-05-12,youtube,52323,13679,,565,36,,,1
2026-05-13,youtube,52396,18199,,598,39,,,1
2026-05-14,youtube,52475,18224,,604,42,,,3
2026-05-15,youtube,52559,7013,,236,15,,,1
2026-05-16,youtube,52618,13457,,288,38,,,0
2026-05-17,youtube,52699,10914,,294,30,,,0
2026-05-18,youtube,52744,17565,,376,50,,,1
2026-05-19,youtube,52827,7345,,171,13,,,3
2026-05-20,youtube,52880,12007,,349,28,,,2
2026-05-21,youtube,52905,11463,,280,24,,,2
2026-05-22,youtube,52900,9367,,202,22,,,1
2026-05-23,youtube,52978,8937,,276,14,,,2
2026-05-24,youtube,53032,7754,,156,21,,,1
2026-05-25,youtube,53061,11570,,273,18,,,1
2026-05-26,youtube,53110,11861,,320,14,,,1
2026-05-27,youtube,53148,18288,,607,53,,,1
2026-05-28,youtube,53179,16375,,517,38,,,0
2026-05-29,youtube,53252,13541,,338,37,,,2
2026-05-30,youtube,53301,18295,,743,44,,,1
